Sr No,Date dd/mm/yyyy,StartupName,Industry Vertical,SubVertical,CityLocation,CityCode,InvestorsName,InvestmentnType,AmountUSD,Remarks
1252,30/11/2016,Entropika,Technology,"AI, Machine learning Solutions",Bangalore,1023,"Dileep Bhatt, Milind Chaudhary",Seed Funding,200000,nan
1253,30/11/2016,MarianaIQ,Technology,AI-driven B2B marketing platform,Bangalore,1023,Exfinity Venture Partners,Private Equity,2000000,nan
1254,30/11/2016,Chai Thela,Food & Beverage,Quick Service Restaurants,Noida,1024,Quarizon,Seed Funding,218000,nan
1255,30/11/2016,Interviewpad,Technology,Engineering Interview facilitation platform,Pune,1025,Krishna Rokhale,Seed Funding,100000,nan
1256,30/11/2016,Math Buddy,Consumer Internet,Online Math Learn,Vadodara,1026,Menterra Social Impact Fund,Seed Funding,440000,nan
1257,30/11/2016,Pulse,Consumer Internet,Campus Social Networking App,Bangalore,1027,SAIF Partners,Private Equity,500000,nan
1258,30/11/2016,MonkeyBox,Consumer Internet,Healthy Food Delivery platform,Bangalore,1027,Blume Ventures & Others,Seed Funding,0,nan
1259,30/11/2016,Carcrew.in,Consumer Internet,Online Car repair Marketplace,Mumbai,1028,TVS Group,Seed Funding,500000,nan
1260,3/10/2016,MeraKisan,eCommerce,Fruit & vegetable eTailer,Bangalore,1029,Mahindra Univeg,Seed Funding,0,nan
1261,3/10/2016,Mystifly,Consumer Internet,Airline Ticket Aggregator,Bangalore,1029,Recruit Holdings,Private Equity,5000000,nan
1262,3/10/2016,HelpChat,Consumer Internet,AI Powered Content & Commerce platform,Bangalore,1029,"American Express Ventures, Sequoia Capital",Private Equity,0,nan
1263,3/10/2016,Uniphore,Technology,Speech Recognition Solutions,Chennai,1030,"IDG Ventures, Indian Angel Network (IAN), YourNest Angel Fund",Private Equity,2000000,nan
1264,3/10/2016,World Art Community,eCommerce,Art & Craft Marketplace,Gurgaon,1031,Viraj Tyagi & Others,Seed Funding,200000,nan
1265,4/10/2016,Giftxoxo,eCommerce,Online Gifting platform,Bangalore,1032,Mahindra Holidays & Resorts India Ltd,Private Equity,450000,nan
1266,4/10/2016,Bharat Bazaar,eCommerce,Online B2B Marketplace,Mumbai,1033,"BeeNext, TV Mohandas Pai, Kunal Shah, Sandeep Tandon",Seed Funding,0,nan
1267,4/10/2016,GOQii,Consumer Internet,Health & Fitness Wearable Device,Mumbai,1033,Ratan Tata,Private Equity,0,nan
1268,4/10/2016,India Gifts Portal,eCommerce,Online Gifting platform,Noida,1034,"Naveen Arya, Tarun Joshi",Private Equity,2000000,nan
1269,4/10/2016,Moglix,eCommerce,Industrial & Home products marketplace,Noida,1034,"Accel Partners, Jungle Ventures, SeedPlus",Private Equity,4200000,nan
1270,4/10/2016,NetLinx,Consumer Internet,Internet Service Provider,Hyderabad,1035,"Xchange Investors NV, TransGlobal FZC",Private Equity,3000000,nan
1271,4/10/2016,Scandid,Consumer Internet,Product Shopping Comparison App,Pune,1036,3One4 Capital,Private Equity,0,nan
1272,4/10/2016,Remitr,Consumer Internet,Foreign Currency Payments Platform,Mumbai,1037,"Vijay Shekhar Sharma, Pravin Gandhi,\\xc2\\xa0 Smart Start Fund; Kunal Shah,\\xc2\\xa0 Sandeep Tandon, Vishal Gondal, & Others",Seed Funding,1000000,nan
1273,4/10/2016,InnerChef,Consumer Internet,Online food ordering platform,Gurgaon,1038,"Mistletoe, M&S Partners",Private Equity,2500000,nan
1274,4/10/2016,AppsDaily,Consumer Internet,"Mobile Phone Theft, Damage Protection platform",Mumbai,1039,"Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels",Private Equity,3750000,nan
1275,5/10/2016,MuhurtMaza,Consumer Internet,Online Puja Booking Service,Pune,1040,Undisclosed Investor,Seed Funding,0,nan
1276,5/10/2016,Azuro,Consumer Internet,Rental Property Finder platform,Mumbai,1041,"White Unicorn Ventures, Kae Capital, Mumbai Angels",Private Equity,0,nan
1277,5/10/2016,NeuroSynaptic,Technology,Remote Healthcare Delivery Solutions,Bangalore,1042,"Indian Angel Network, Healthsquad, Axilor Ventures",Private Equity,0,nan
1278,5/10/2016,UE LifeSciences,Technology,Mobile Health Technology Solutions,Mumbai,1043,"Kiran Mazumdar-Shaw, Unitus Seed Fund",Private Equity,1200000,nan
1279,6/10/2016,FindmeaShoe,Consumer Internet,Footwear Recommendation App,Bangalore,1044,Ventureast Fund Advisors,Seed Funding,0,nan
1280,6/10/2016,RealBox,Technology,Data Sciences Platform,Noida,1045,Hyderabad Angels,Seed Funding,300000,nan
1281,6/10/2016,Sportido,Consumer Internet,Sports Discovery platform,Noida,1045,Sumpoorna Group,Seed Funding,0,nan
1282,6/10/2016,GoZefo,eCommerce,Used Furniture & Appliances Marketplace,Bangalore,1046,"Helion Venture Partners, BeeNext",Private Equity,1050000,nan
1283,7/10/2016,RayIOT,Technology,Baby Monitoring Devices manufacturer,Bangalore,1046,HAX Accelerator,Seed Funding,100000,nan
1284,7/10/2016,KOOH Sports,Technology,Sports Training & Technology,Mumbai,1047,"HDFC, Faering Capital, Elevate Sports",Private Equity,2200000,nan
1285,7/10/2016,Flexiloans,Consumer Internet,Online Funds Raising Platform,Mumbai,1047,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",Private Equity,15000000,nan
1286,7/10/2016,Sibia Analytics,Technology,Marketing & Customer Analytics Solutions,Kolkata,1048,Radhakrishnan Natarajan & Others,Seed Funding,0,nan
1287,10/10/2016,Vithi.com,eCommerce,Online Hair Extension etailer,New Delhi,1049,undisclosed investor,Seed Funding,375000,nan
1288,11/10/2016,Yupp TV,Consumer Internet,Internet-based TV streaming service provider,Bangalore,1050,Emerald Media,Private Equity,50000000,nan
1289,11/10/2016,Deyor Camps,Consumer Internet,Branded Camping location Aggregator,Gurgaon,1051,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",Seed Funding,500000,nan
1290,12/10/2016,ZipLoan,Consumer Internet,online lending platform,New Delhi,1052,"GrowX Ventures, Sunil Kalra, Arun Venkatachalam,\\xc2\\xa0 Badal Malick",Seed Funding,0,nan
1291,13/10/2016,FabAlley,ecommerce,online fashion brand store,Noida,1053,"India Quotient, FAO Ventures, Indian Angel Network, Tushar Singh, Ranjan Sharma",Private Equity,2000000,nan
1292,13/10/2016,Shoekonnect,eCommerce,B2B Marketplace for Shoes,Agra,1054,Indian Angel Network,Seed Funding,0,nan
1293,13/10/2016,Maya,Consumer Internet,Womens Health Tracker App,Bangalore,1055,Rajan Anandan,Seed Funding,0,nan
1294,13/10/2016,RoboVac,Technology,waterless car washing solution,Ahmedabad,1056,Virendra Patel,Seed Funding,450000,nan
1295,14/10/2016,Newspatrolling,Consumer Internet,Online News portal,New Delhi,1057,Undisclosed,Seed Funding,"25,000",nan
1296,14/10/2016,Postman,Consumer Internet,API Platform,Bangalore,1058,Nexus Venture Partners,Private Equity,7000000,nan
1297,14/10/2016,ISFC,Finance,Education Sector Lending,Hyderabad,1059,Gray Matters Capital,Private Equity,6000000,nan
1298,14/10/2016,BeatRoute,Technology,SAAS based mobile application platform,Gurgaon,1060,Quarizon Consultancy Services LLP,Seed Funding,0,nan
1299,14/10/2016,Kidsstoppress,Consumer Internet,Parenting and Baby care Platform,Mumbai,1061,Karan Bhagat,Seed Funding,0,nan
1300,14/10/2016,Innov8,Consumer Internet,Co-Working Spaces aggregator,Bangalore,1062,Punit Soni,Seed Funding,0,nan
1301,15/10/2016,DailyHunt,Consumer Internet,Vernacular content mobile app,Bangalore,1062,"ByteDance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,\\xc2\\xa0 Falcon Edge",Private Equity,25000000,nan
1302,15/10/2016,Tazzo Bikes,Consumer Internet,Motorbike rental platform,Hyderabad,1063,DSG Consumer Partners,Seed Funding,227000,nan
1303,15/10/2016,MyKindofJob,Consumer Internet,Internet & Fresher Job platform,Mumbai,1064,"Mayank Shah, Shreyans Shah",Seed Funding,1000000,nan
1304,17/10/2016,Trilyo,Technology,B2B SAAS based product,Bangalore,1065,"Vishnu Bhat, Rajiv Lunkad, Naresh Ravindranath",Seed Funding,0,nan
1305,17/10/2016,Rooter,Consumer Internet,Sports Social Network mobile app,New Delhi,1066,"Boman Irani, Dhruv Chitgopekar, Prantik Dasgupta",Seed Funding,0,nan
1306,17/10/2016,Yumigo,Consumer Internet,App based Travel Discovery and Transactions platform,Gurgaon,1067,Hemant Sahni,Seed Funding,300000,nan
1307,17/10/2016,Rentalpha,Others,equipment rental and leasing company,Mumbai,1068,Bravia Capital,Private Equity,16000000,nan
1308,18/10/2016,3Dexter,Technology,3D Printing Solutions for Edu space,New Delhi,1069,Newbie Promoters,Seed Funding,150000,nan
1309,18/10/2016,BabyChakra,Consumer Internet,Parenting and Child Care portal,Mumbai,1070,RoundGlass Partners,Private Equity,0,nan
1310,18/10/2016,Coppre,eCommerce,Copper based items etailer,Pune,1071,Ganesh Natarajan,Seed Funding,0,nan
1311,18/10/2016,MySUN,Technology,Solar Energy harnessing products marketplace,Noida,1072,General Catalyst Partners,Private Equity,2500000,nan
1312,18/10/2016,ePathsala,Technology,Cloud based ERP for Accreditation & ICT,Bangalore,1073,"Hyderabad Angels, TLabs",Seed Funding,0,nan
1313,19/10/2016,Furlenco,Consumer Internet,Online Furniture Rental platform,Bangalore,1073,"Lightbox Ventures, Axis Capital & Others",Private Equity,30000000,nan
1314,19/10/2016,Fisdom,Consumer Internet,Personal Wealth Management Platform & App,Bangalore,1073,"Saama Capital, Raghunandan G, Aprameya Radhakrishna",Private Equity,1100000,nan
1315,19/10/2016,Actofit,Technology,Wearable Technology platform & devices,Mumbai,1074,Next Orbit Ventures Fund,Private Equity,750000,nan
1316,20/10/2016,Stayology,Consumer Internet,Stay & Travel related services,Bangalore,1075,Ranjan Pai,Seed Funding,0,nan
1317,20/10/2016,Hipcask,Consumer Internet,Alcoholic beverage discovery platform,Mumbai,1076,Mobikon,Seed Funding,0,nan
1318,20/10/2016,RailYatri,Consumer Internet,Train Travel Info mobile app,Noida,1077,"Helion Ventures, Blume ventures",Private Equity,0,nan
1319,21/10/2016,ChatOnGo,Consumer Internet,Hyperlocal\\xc2\\xa0 Communication Mobile app,Mumbai,1078,Janak Jain,Seed Funding,300000,nan
1320,23/10/2016,WOTU,eCommerce,B2B Marketplace for traders,Bangalore,1079,KAE capital,Seed Funding,0,nan
1321,24/10/2016,Healthians,Consumer Internet,Health Test Discovery & Ordering service,Gurgaon,1080,BEENEXT,Private Equity,3000000,nan
1322,24/10/2016,Box8,Consumer Internet,Online Food Ordering platform/App,Mumbai,1081,"IIFL Seed Ventures Fund, Mayfield Ventures",Private Equity,7500000,nan
1323,25/10/2016,Kredx,eCommerce,Invoice discounting marketplace,Bangalore,1082,Sequoia Capital,Private Equity,6000000,nan
1324,25/10/2016,CreditMate,Consumer Internet,Credit Report Info platform,Mumbai,1083,India Quotient,Seed Funding,500000,nan
1325,25/10/2016,Pickrr,Technology,Courier Logistics & Order management Solutions,New Delhi,1084,Swastika Company Ltd,Seed Funding,0,nan
1326,25/10/2016,SatvaKart,eCommerce,Online Grocery Etailer,Gurgaon,1085,Nimit Panigrahi,Seed Funding,0,nan
1327,25/10/2016,SooperMO,Technology,Android utility app suite creator,Gurgaon,1085,Lalit Vase,Seed Funding,100000,nan
1328,26/10/2016,OrangeTwig,Consumer Internet,Social Media Marketing platform,New Delhi,1086,Undisclosed investor,Seed Funding,1000000,nan
1329,26/10/2016,Wooplr,Consumer Internet,Fashion Discovery App,Bangalore,1087,"Astarc Ventures, Anand Chandrasekaran",Seed Funding,0,nan
1330,26/10/2016,The Kettlery,eCommerce,Online Tea Etailer,Ahmedabad,1088,"hooting Starts Sports LLP, Franchise India Brands",Private Equity,1000000,nan
1331,27/10/2016,Idea Bubbles,Consumer Internet,Doctor Consulting platform,Bangalore,1089,"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd.",Private Equity,700000,nan
1332,27/10/2016,FR8,Technology,Truck Fleet Operation platform,Chennai,1090,Omnivore Partners,Private Equity,971000,nan
1333,27/10/2016,Ather Energy,Technology,Electric Vehicle Manufacturer,Bangalore,1091,Hero MotoCorp,Private Equity,27000000,nan
1334,28/10/2016,Pikkol,Logistics,Relocation Service provider,Bangalore,1091,"Ajay Nanavati, Afsal Salu",Seed Funding,0,nan
1335,29/10/2016,Velmenni,Technology,LiFi based wireless communication provider,New Delhi,1092,Kalaari Capital,Seed Funding,100000,nan
1336,29/10/2016,Volta Motors,Technology,Electric Bike Manufacturer,Chennai,1093,Kalaari Capital,Seed Funding,100000,nan
1337,29/10/2016,Cyclops,Technology,Clinical and Wearable Diagnostic Product creator,Bangalore,1094,Kalaari Capital,Seed Funding,100000,nan
1338,30/10/2016,Impact Analytics,Technology,Business intelligence and data science Startup,Bangalore,1094,"Aarin Capital, Michael Herzig, Ashish Lakhanpal",Private Equity,750000,nan
1339,31/10/2016,Talent Next,Consumer Internet,Talent Discovery & Audition management platform,Mumbai,1095,Karanpal Singh & Others,Seed Funding,1000000,nan
1340,1/9/2016,Mad Street Den,Technology,Artificial Intelligence platform,Chennai,1096,"Sequoia India, Exfinity Ventures, growX ventures,",Private Equity,0,nan
1341,1/9/2016,Mihup,Technology,Personal Digital Assistant,Kolkata,1097,Accel Partners,Private Equity,6700000,nan
1342,1/9/2016,Renowala,eCommerce,Home Improvement Marketplace,Hyderabad,1098,Pradeep Dhobale,Seed Funding,0,nan
1343,1/9/2016,Lucideus,Technology,IT Risk Assessment and Digital Security Services provider.,New Delhi,1099,Amit Choudhary,Seed Funding,0,nan
1344,4/9/2016,Trackbizz,Technology,Field Force Automation System,Kochi,1100,Grasshoppers,Private Equity,0,nan
1345,5/9/2016,Social Quotient,Technology,Platform for Social Causes,Mumbai,1101,"Anita Dongre, Yash Dongre, Milind Sarwate",Seed Funding,0,nan
1346,5/9/2016,Stalk Buy Love,eCommerce,Fashion Apparel eTailer,New Delhi,1102,William Bissel,Seed Funding,0,nan
1347,6/9/2016,eShakti,eCommerce,Women\xe2\x80\x99s Fashion Apparel eTailer,Chennai,1103,"Infina Finance Pvt. Ltd, Uday Kotak",Private Equity,1350000,nan
1348,6/9/2016,CheersOye!,Consumer Internet,Online Gift Vouchers platform,Mumbai,1104,Undisclosed Investors,Seed Funding,500000,nan
1349,6/9/2016,Lenskart,eCommerce,Online Eyewear eTailer,New Delhi,1105,PremjiInvest,Private Equity,0,nan
1350,6/9/2016,BigStylist,Consumer Internet,Hyperlocal doorstep Beauty Services provider,Mumbai,1106,Info Edge (India) Ltd,Private Equity,900000,nan
1351,7/9/2016,Zilingo,eCommerce,Online Fashion Retailer,Bangalore/ Bangkok,1107,"Venturra Capital, Sequoia India, Susquehanna International Group.\\xc2\\xa0 Wavemaker Partners, Beenext, Beenos, Digital Garage",Private Equity,8000000,nan
1352,7/9/2016,Alternacare,Consumer Internet,Online Doctor Consulting platform,New Delhi,1108,Eros Labs,Seed Funding,500000,nan
1353,7/9/2016,Simplilearn,Education,Online Certification programs,Bangalore,1109,InnoVen Capital India,Private Equity,6000000,nan
1354,7/9/2016,Prozo,eCommerce,Study Material Marketplace,Gurgaon,1110,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki",Seed Funding,315000,nan
1355,8/9/2016,TopRankers,Education,Online Test Preparation platform,Bangalore,1111,"CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,",Seed Funding,670000,nan
1356,8/9/2016,BuildTraders,eCommerce,Online Construction Materials Marketplace,Bangalore,1111,Idein Ventures,Seed Funding,200000,nan
1357,9/9/2016,Byju\\xe2\\x80\\x99s,Education,Online Learning App,Bangalore,1111,"Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofina, Lightspeed Ventures",Private Equity,50000000,nan
1358,9/9/2016,NoBroker,Consumer Internet,Online Home Rental platform,Bangalore,1111,Anand Chandrasekaran,Seed Funding,0,nan
1359,10/9/2016,Freshboxx,eCommerce,Fruits & vegetable eTailer,Hubli,1112,Ravi Linganuri,Seed Funding,0,nan
1360,10/9/2016,CureInstant,Consumer Internet,Social Health Networking Platform,New Delhi,1113,Dr. Rameshwar Kumar,Seed Funding,150000,nan
1361,10/9/2016,Poshtic,Consumer Internet,Online health & Wellness platform,Noida,1114,"havya Sharma, Amit Nagar",Seed Funding,450000,nan
1362,10/9/2016,KarmaCircles,Consumer Internet,Peer-to-peer Social Learning platform,New Delhi,1115,"Harinder Takhar, Zain Raj, Dr. Prasad Kaipa, Abaran Deep, Aseem Sood, Mustafa Patni",Seed Funding,0,nan
1363,12/9/2016,Purple Style Labs,Consumer Internet,Personal Styling Online platform,Mumbai,1116,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan",Seed Funding,448000,nan
1364,12/9/2016,Inuxu,Technology,Online Advertising Solutions,Pune,1117,Fork Media,Private Equity,3000000,nan
1365,12/9/2016,Nykaa,eCommerce,Online Beauty products eTailer,Mumbai,1118,"Sunil Munjal, Mariwala family",Private Equity,12300000,nan
1366,12/9/2016,Glam Studios,Consumer Internet,Beauty Salon Aggregator,Noida,1119,"Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal",Seed Funding,300000,nan
1367,13/09/2016,Findow,Consumer Internet,Fashion Discovery Mobile app,Bangalore,1120,Raj Singh Bhandal,Seed Funding,0,nan
1368,13/09/2016,IdeaChakki,Consumer Internet,Restaurant Menu & Food mobile app,Delhi,1121,Ratan Tata,Seed Funding,0,nan
1369,13/09/2016,ShoeKonnect,eCommerce,Footwear & Leather B2B App,Agra,1122,Indian Angels Network,Seed Funding,0,nan
1370,13/09/2016,NearBuy,Consumer Internet,Online Deals & Discount platform,Gurgaon,1123,BlackSoil Capital Pvt. Ltd.,Private Equity,2500000,nan
1371,14/09/2016,ZeroInfy,Consumer Internet,Online Video Lectures platform,Kolkata,1124,Calcutta Angels Network,Seed Funding,0,nan
1372,14/09/2016,Flocareer,Consumer Internet,Jobs & Skill Validation platform,Bangalore,1125,"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others",Seed Funding,150000,nan
1373,14/09/2016,LensPick,eCommerce,eyewear eTailer,Bangalore,1125,Scadea Solutions Inc,Private Equity,0,nan
1374,15/09/2016,infeedo,Consumer Internet,Employee engagement platform,Gurgaon,1126,"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah,\\xc2\\xa0 Vivek Bhargava, Rahul Singh, Ambarish Gupta,",Seed Funding,200000,nan
1375,15/09/2016,Furlenco,eCommerce,Online furniture rental startup,Bangalore,1127,Lightbox Ventures and others,Private Equity,5000000,nan
1376,15/09/2016,GoPigeon,Consumer Internet,on-demand logistics service provider,Bangalore,1127,Nexus Venture Partners,Private Equity,1500000,nan
1377,16/09/2016,NewsDistill,Consumer Internet,City based News Aggregator App,Hyderabad,1128,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem",Seed Funding,100000,nan
1378,16/09/2016,DoctorInsta,Consumer Internet,Online Doctor Consultations,Gurgaon,1129,RoundGlass Partners,Private Equity,1000000,nan
1379,19/09/2016,Milofy,Consumer Internet,Couple Socialization App,Bangalore,1130,Accel Partners,Seed Funding,750000,nan
1380,19/09/2016,Liqvid,Technology,Integrated eLearning content solutions,New Delhi,1131,Gray Matters Capital,Private Equity,0,nan
1381,19/09/2016,Swiggy,Consumer Internet,Online Food Ordering & Delivery,Bangalore,1132,Bessemer Venture Partners,Private Equity,15000000,nan
1382,20/09/2016,Codemojo,Consumer Internet,Customer Engagement Platform,Bangalore,1132,CIO Angel Network,Seed Funding,0,nan
1383,20/09/2016,JustLikeNew,eCommerce,Online gadget Repair Services Marketplace,Hyderabad,1133,LetsVenture,Seed Funding,500000,nan
1384,20/09/2016,JoeHukum,Technology,Enterprise customer engagement solutions,New Delhi,1134,Sumit Jain,Seed Funding,0,nan
1385,21/09/2016,Co Life,Consumer Internet,shared living and working spaces platform,Bangalore,1135,Undisclosed Investors,Seed Funding,1000000,nan
1386,21/09/2016,PurpleDocs,Consumer Internet,Electronic Health care records platform,Vadodara,1136,"KellyGamma, Lead Angels & Others",Seed Funding,0,nan
1387,21/09/2016,Pepperfry,eCommerce,Furniture eTailer,Mumbai,1137,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",Private Equity,31300000,nan
1388,21/09/2016,eQuickies,eCommerce,Online Book etailer,Ahmedabad,1138,Lothal Angel Ventures,Seed Funding,298000,nan
1389,21/09/2016,Khel Now,Consumer Internet,Mobile-based social networking platform,New Delhi,1139,Anglian Omega Network,Seed Funding,350000,nan
1390,22/09/2016,Gadgetwood,Consumer Internet,On-Demand Gadget repair services platform,New Delhi,1139,Carpediem Capital,Private Equity,6000000,nan
1391,22/09/2016,DailyRounds,Consumer Internet,Mobile App for Doctors,Bangalore,1140,"Accel Partners, Beenext, Powerhouse Ventures, Akusa Holdings",Private Equity,0,nan
1392,22/09/2016,Flixy Games,Technology,Mobile Game Publisher for Indian audience,Bangalore,1140,Rebright Partners,Seed Funding,425000,nan
1393,22/09/2016,HashTaag,Technology,Mobile App Development company,Bangalore,1140,Undisclosed investors,Seed Funding,1000000,nan
1394,22/09/2016,PharmaRack,Technology,SAAS application for Pharma Industry,Pune,1141,"Currae Healthtech Fund, Unicorn India Ventures",Private Equity,745000,nan
1395,23/09/2016,\\xc2\\xa0CloudCherry,Technology,CRM SAAS Platform,Chennai,1142,"Vertex Ventures, Cisco Ventures, IDG Ventures",Private Equity,6000000,nan
1396,23/09/2016,Parentlane,Consumer Internet,Social Platform for babycare and parenting,Bangalore,1143,Rohit MA,Seed Funding,0,nan
1397,23/09/2016,First Moms Club,Consumer Internet,Social Network for Mothers,Mumbai,1144,Idea Wave Labs,Seed Funding,0,nan
1398,23/09/2016,inMotion,Technology,Financial platform for daily wage earning communities,Noida,1145,"Prashant Tandon, Gaurav Agarwal, Gaurav Bhogle, Shrishti Sahu, Shantanu Mathur, Prabhat Aggarwal",Seed Funding,0,nan
1399,26/09/2016,Let\xe2\x80\x99s Barter,Consumer Internet,Goods & Services Barter Platform,New Delhi,1146,Scale Ventures Funds,Seed Funding,0,nan
1400,26/09/2016,EvenGini,Consumer Internet,Event Registration and Ticketing platform,Chennai,1147,Procam International Pvt. Ltd,Private Equity,0,nan
1401,27/09/2016,TinyStep,Consumer Internet,Parenting Network Platform,Bangalore,1148,Flipkart Logistics Pvt. Ltd,Private Equity,1580000,nan
1402,27/09/2016,Canvs,Consumer Internet,Community Platform for Artists and Designers,Mumbai,1149,Pratik Seal,Seed Funding,0,nan
1403,28/09/2016,Beardo,eCommerce,Mens Grooming products etailer,Ahmedabad,1150,Venture Catalysts,Seed Funding,500000,nan
1404,28/09/2016,Instacar,Consumer Internet,Out-Station Taxi Rental Platform,Indore,1151,Swastika Co Ltd.,Seed Funding,1000000,nan
1405,28/09/2016,Celes Care,Consumer Internet,Virtual Health Clinic for Women,Hyderabad,1152,Endiya Partners,Seed Funding,1000000,nan
1406,28/09/2016,Druva,Technology,Cloud Based Data Protection Solution,Pune,1153,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital",Private Equity,51000000,nan
1407,29/09/2016,Promon,eCommerce,Local Commerce Platform,New Delhi,1154,Now Capital,Seed Funding,180000,nan
1408,29/09/2016,Fastudent,eCommerce,Education eCommerce platform,Noida,1155,"Kanwaljit Singh, Ajay Lakhotia, Pavan Ongole, Ashish Gupta",Seed Funding,0,nan
1409,29/09/2016,Unocoin,Consumer Internet,Bitcoin Wallet,Bangalore,1156,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",Private Equity,1500000,nan
1410,30/09/2016,Demyto,Consumer Internet,Vehicle maintenance Services platform,Pune,1157,Deepak Nathani,Seed Funding,0,nan
1411,30/09/2016,Zeta,Technology,Enterprise Cloud Solutions,Mumbai,1158,Bhavin Turakhia,Private Equity,19000000,nan
1412,30/09/2016,Kalaage,Consumer Internet,Social Networking Platform for Writers,Jaipur,1159,Rajasthan Angel Innovators Network,Seed Funding,0,nan
1413,1/8/2016,HealthKart,eCommerce,Online Pharmacy & Health Marketplace,Gurgaon,1160,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,12000000,nan
1414,1/8/2016,Medinfi,Consumer Internet,Doctor & Clinic\\xc2\\xa0 Discovery Platform,Bangalore,1161,"Mudit Saxena, Evan Lim",Seed Funding,200000,nan
1415,1/8/2016,RepairEasy,Consumer Internet,Gadget Repair Services Platform,Pune,1162,Undisclosed HNIs,Seed Funding,275000,nan
1416,1/8/2016,Voonik,eCommerce,Online Women\\xe2\\x80\\x99s Fashion Marketplace,Bangalore,1163,InnoVen Capital,Private Equity,3000000,nan
1417,1/8/2016,Tokri,Consumer Internet,Hyperlocal Grocery Delivery platform,Pune,1164,Syska LED group,Private Equity,2500000,nan
1418,2/8/2016,Sheroes,Consumer Internet,Online Job and Career Platform for Women,Noida,1165,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Private Equity,1800000,nan
1419,2/8/2016,Daily Ninja,Consumer Internet,Hyperlocal daily needs Products delivery platform,Bangalore,1166,"Venk Krishnan, Aprameya Radhakrishna, Anupam Mittal, Kunal Shah, Tracxn Labs, Subramanya SV, Ravi Garkipati",Seed Funding,0,nan
1420,2/8/2016,Yumlane,Food & Beverage,Retail Food & Snack Offline centres,Mumbai,1167,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed Funding,1000000,nan
1421,3/8/2016,Xcode,Healthcare,Personal Genomics,Chennai,1168,RoundGlass Partners,Private Equity,0,nan
1422,3/8/2016,ExtraCarbon,Consumer Internet,Waste Recycle Management platform,Gurgaon,1169,Brand Capital,Seed Funding,225000,nan
1423,3/8/2016,FlickBay,Consumer Internet,Mobile Based Bollywood Discovery platform,Mumbai,1170,Paul Roy,Seed Funding,890000,nan
1424,4/8/2016,Petoo,Consumer Internet,Food Delivery Platform,Bangalore,1171,Existing Investors,Seed Funding,500000,nan
1425,4/8/2016,lehlehsports,Others,Sports Arena discovery,New Delhi,1172,Anglian Omega Network,Seed Funding,0,nan
1426,5/8/2016,Tricog,Healthcare,Healthcare Analytics Platform,Bangalore,1173,"Inventus Capital Partners, Blume Ventures & Others",Private Equity,0,nan
1427,6/8/2016,VST Travels,Technology,Travel Ticket Booking Software,Kerala,1174,Promatus Group,Seed Funding,"27,000",nan
1428,8/8/2016,AdPushUp,Technology,Ad optimization Platform,New Delhi,1175,"Geniee, Inc, Purvi Capital",Private Equity,0,nan
1429,8/8/2016,Wefly Indoor Skydiving,Others,Indoor Skydiving Sports Provider,Mumbai,1176,Swastika Company Ltd.,Seed Funding,"40,000",nan
1430,8/8/2016,Mojarto,eCommerce,"Original Art, Digital Prints etailer",Gurgaon,1177,Undisclosed Investors,Seed Funding,445000,nan
1431,8/8/2016,Zipgrid,Consumer Internet,Community services platform,Mumbai,1178,1Crowd (through crowd funding),Seed Funding,200000,nan
1432,9/8/2016,MobiDent,Healthcare,Dental Protection Solution,Bangalore,1179,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,0,nan
1433,9/8/2016,Zeolr/RespirON,Technology,Healthcare related IoT platform,New Delhi,1180,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,0,nan
1434,10/8/2016,Vebbler,Consumer Internet,Photo Sharing Mobile App,Bangalore,1181,"Anupam Mittal, Sharad Sharma & 14 others",Seed Funding,500000,nan
